longitude_rsf,latitude_rsf,loc_zone
-149.93796148738383,70.84514342629481,1
-147.84066591422118,70.33156659142209,5
-145.23915365239296,70.89694962216618,0
-144.79627560975615,71.33594390243901,0
-143.5856897810219,71.33011678832118,0
-143.05914814814818,73.88068055555557,0
-149.8349156626505,71.422889558233,1
-150.89006336939715,71.42612364760424,1
-149.26427884615393,70.85942067307691,1
-145.68830705394197,70.65208298755184,5
-149.11178070175436,71.40271929824561,1
-148.9184234234235,70.95297747747749,1
-148.87152125693166,71.07755268022179,1
-149.51358152173896,71.39244021739138,1
-146.6458554778554,71.31259207459208,5
-143.7917450424929,71.288671388102,0
-136.17578169014087,71.16749295774648,7
-131.712625,73.65170673076922,4
-136.79397204968947,71.5188524844721,7
-141.76849015748016,70.99418897637796,7
-146.78139465875373,70.89862759643918,5
-149.95168274111668,71.17271065989853,1
-154.71967759562847,71.6416448087432,9
-147.18051005025114,70.88240703517589,5
-148.09287710843384,71.05255662650605,5
-148.57853731343292,71.07290298507462,1
-149.35506486486483,71.85735135135127,1
-149.53538419618522,72.3558474114441,1
-149.8644356060606,72.6859204545455,1
-135.0648834951456,73.64612621359221,4
-140.49775862068964,72.8675603448276,7
-146.6521836734694,71.25455102040819,5
-157.87864423076923,71.76617307692307,3
-162.10534666666663,73.41684,3
-155.7433090909091,72.56639999999999,3
-153.85161956521733,71.97493478260868,9
-149.80976688637796,71.41600072190825,1
-147.93004214567796,71.1445582931108,5
-147.37742843992268,71.49427451550395,5
-146.68966975228193,72.04129778357238,5
-141.13490326086944,73.61113013833985,7
-135.87351190102123,73.82808813825613,4
-142.69376850152898,73.32870061162085,7
-150.102892280702,71.90068368421049,1
-152.79896279069763,71.1722114490161,9
-144.60437845117823,71.10991885521888,0
-145.8768180392157,70.98068196078432,5
-151.23749908136492,71.14415419947505,1
-151.1659552771452,71.14036488230835,1
-151.08084106073582,71.21770196749367,1
-150.87273320079507,71.626615805169,1
-151.8916767289717,71.73733878504676,9
-151.83926904761915,72.654764160401,9
-153.37233819188214,74.62955147601477,9
-154.4731546524065,74.12048160427805,9
-154.94570847457612,72.19509887005648,9
-153.0982455242966,70.64842634271102,9
-152.19780944625404,71.6337006514658,9
-154.75728051118213,71.27751309904156,9
-156.97306821515878,71.29289853300732,3
-151.73332516940917,71.468063697967,1
-149.98972999216934,71.18166249021142,1
-150.48017355727805,71.45391722652887,1
-149.04713672839506,72.18354773662564,1
-149.39904612452352,73.24098132147395,1
-150.0779110929853,74.33458531810761,1
-149.69177471910106,74.81433806179776,8
-160.7789530674848,74.17998466257662,3
-133.99619479166668,73.17200937499999,4
-113.1201716080403,72.48702487437184,4
-39.09759696969697,72.96712303030303,2
-146.94374862068963,72.28412172413789,5
-153.85416578560933,72.0421660792953,9
-141.3018394849785,71.3673511802575,7
-151.4179789556961,71.91677705696205,1
-153.80184399999993,73.20927253333333,9
-147.2592462295082,75.32332491803277,8
-146.63686753246753,76.85899512987008,8
-144.99071781376506,75.22973765182184,8
-150.39720776470583,71.60989529411763,1
-156.32723566878985,71.63969108280259,3
-151.98136363636368,70.56705,1
-147.11139518900333,70.72721993127148,5
-144.48431746031747,70.73404365079371,0
-150.28122177839847,71.52796839851023,1
-148.7237729426753,71.26571885987266,1
-145.86981938596477,71.87008187865503,5
-152.0812633199195,73.60515784708247,9
-157.6443857670455,76.55033579545452,3
-139.11620601063825,76.23984167021281,7
-142.14220830825852,73.01474681377472,7
-144.4246608339828,71.08867256430251,0
-150.75725458797334,70.94968543429846,1
-150.20242031339046,70.37346997151005,1
-150.33265728773597,70.08075778301887,1
-147.02497343396215,70.45484714465412,5
-146.76911021158136,70.78858645322933,5
-147.81776337158928,70.90297313014315,5
-153.38282176371735,71.72214759611815,9
-160.55558496641288,73.44991376921953,3
-154.61536943580722,74.70230956619869,9
-145.22110303686594,74.63314822350246,8
-147.7356796182685,73.42528494205878,8
-154.06821195472475,72.00505573481894,9
-153.3633094419843,71.24063794508409,9
-151.4102216403969,70.98084223584355,1
-144.68204044551078,70.71490656614118,0
-151.3319329857512,70.70358944948192,1
-148.24630372184677,70.97300176238727,5
-143.94713992149605,70.6198118217502,0
-146.08386162716235,71.08939590006405,5
-147.7082625482627,71.36435907335913,5
-155.1708108108108,76.88239189189188,9
-131.7336849315069,77.6578767123288,4
-135.15591240875918,74.57109489051096,4
-141.51190052356023,71.0821047120419,7
-136.6107948717948,70.77483333333333,7
-140.51731746031743,70.85463492063492,7
-151.12394666666668,70.13417333333335,1
-150.2581554021245,70.77741311077394,1
-153.5661050212381,70.92374812196609,9
-152.7355455466289,71.19163317499104,9
-153.4879361966364,72.20933614489009,9
-157.3184006455402,72.93818259389676,3
-147.60269394409957,76.36753490683225,8
-142.28518367816085,78.55061735632191,8
-140.7131529381444,75.71721879725088,7
-143.19388311688297,71.46092408163273,0
-152.20460128971956,69.69627222429912,1
-153.52895647558395,68.63997666666668,9
-145.04348126315796,69.36289391578951,0
-146.51722967455623,70.49266332840236,5
-150.52323468552854,71.29871521677164,1
-149.9394723531025,71.45395698791882,1
-148.87548063620952,72.29574462605737,1
-148.73834509883162,73.25526167115885,1
-133.58292046858392,78.74608545260905,4
-127.6447116411239,78.89583775223498,4
-131.5628478097984,76.72740959654165,4
-137.62690642412946,73.44611411691551,7
-138.28136928816485,71.36925571183532,7
-144.64222529543747,71.28160799551235,0
-145.4858144619666,70.5101633395178,5
-146.02616787878793,71.4755432222222,5
-147.649443632033,71.3223715643105,5
-144.58577089316057,70.93794442134195,0
-141.32436868530667,70.89781092405306,7
-147.2988375749009,71.72065194177506,5
-141.80987375880284,73.1016157482395,7
-139.77624147199992,72.39005735999999,7
-150.98265672740536,73.22989198250725,1
-151.18699928505922,71.40140998166821,1
-145.36884223514187,70.6354348062015,0
-150.51236775510213,70.97721479591843,1
-154.01191833087157,71.48918932053176,9
-153.50504869169507,71.42137853242316,9
-149.37247043341495,71.02121106955593,1
-146.737077115324,70.70569499526037,5
-146.58022209006947,71.05605329484221,5
-151.6136217863501,71.71213459347187,1
-149.20146642392731,73.66799605981798,1
-143.177750538674,74.30684874309392,7
-152.3203983594691,73.35919316043424,9
-153.64061017790266,71.03821249063671,9
-146.84916343685305,70.49596426501033,5
-144.075745,70.36610517928285,0
-144.08439862796837,70.3086671108179,0
-141.98350479166666,70.32837261904768,0
-145.10774453240626,70.52691408836091,0
-147.61128942536254,70.73161295528217,5
-148.9531381047938,70.90208709030107,1
-150.31287770137502,71.32495555009794,1
-160.11958320610685,73.72187328244274,3
-155.51892793696265,73.58542163323783,9
-146.18315260663505,70.94243886255924,5
-145.10590762829406,71.35787420249659,0
-139.62861547911558,71.79341203931196,7
